Applicant (student) Username,Applications ID,Employer Industry Name,Postings Apply Start Date,Postings Expiration Date Date,Student Educations Cumulative Gpa
jzhong9,18011559,Investment Banking,,2018-10-08,3.52
aschult,6700613,,,,3.7
bwalter7,24357772,Higher Education,,2019-03-13,
dglazek@yahoo.com,13128028,Investment / Portfolio Management,,2018-05-03,
cwooddel,2910997,Other Industries,,2016-12-31,3.74
xchen74,386634,Higher Education,,2015-11-11,3.6
ddang2,20143320,Higher Education,,2018-11-16,3.89
xchen74,6034150,Higher Education,,2017-09-10,3.6
mali7,642874,Internet & Software,,2016-01-26,3.6
mali7,787072,Other Industries,,2016-05-14,3.6
jsmall4,2914294,Internet & Software,,2016-11-28,3.24
tsalenge,15899288,Higher Education,,2018-09-14,3.9
akurtz9,16516025,Higher Education,,2018-09-18,2.89
afernan8,765107,Investment / Portfolio Management,,2016-04-08,3.62
afernan8,1741166,Higher Education,,2016-09-22,3.62
afernan8,95382,Investment Banking,,2015-09-13,3.62
bayachi,369488,Management Consulting,,2015-11-01,3.87
dangie2,14089980,Real Estate,,2018-06-22,2.79
jmagloi2,666654,Electronic & Computer Hardware,,2016-03-18,2.86
jmagloi2,409387,Electronic & Computer Hardware,,2015-12-31,2.86
jmagloi2,448148,Electronic & Computer Hardware,,2015-11-29,2.86
jmagloi2,453398,,,2015-12-07,2.86
jmagloi2,953122,Natural Resources,,2016-04-15,2.86
swu52,20706296,Insurance,,2019-01-31,3.81
jrosell,614509,Internet & Software,,2016-09-30,2.86
yzh155,13130266,Investment / Portfolio Management,,2018-05-03,3.78
jli119,24886839,Investment Banking,,2019-03-05,3.9
syadav,526037,Human Resources,,2016-01-01,3.12
syadav,449136,Other Industries,,2016-01-17,3.12
jmagloi2,453307,Other Industries,,2015-11-30,2.86
ypeng11,8774312,Electronic & Computer Hardware,,2017-11-30,
cmawnmah,19178260,Electronic & Computer Hardware,,2018-11-09,3.16
smehta21,23681144,Management Consulting,,2019-03-31,3.67
dbusaba2,11783666,,,2018-03-02,3.86
lgodwin2,164816,Higher Education,,2015-11-21,3.6
cernst3,6853664,,,,3.64
pqian,7493909,Internet & Software,,2017-11-06,3.21
tmichae5,7162561,Internet & Software,,2018-03-15,2.97
ngyamfi,189259,Defense,,2015-11-03,
mmorkous,1262698,Higher Education,,2016-09-22,3.56
mpastern,2768482,Investment Banking,,2016-12-09,3.31
rmuchang,473959,Manufacturing - Other,,2016-01-29,2.98
jcliffo7,13005393,Investment Banking,,2018-09-02,3.84
ydu16,18001708,Higher Education,,2018-10-01,3.26
jdelacer,6506531,Legal & Law Enforcement,,2017-10-15,2.67
epadron,891833,"Government - Local, State & Federal",,2016-04-04,3.96
epadron,1089084,K-12 Education,,2016-06-24,3.96
hpark43,2149303,Management Consulting,,2016-10-01,3.76
jlu39,11279125,,,2018-03-02,3.23
jlu39,12238669,Investment Banking,,2018-04-01,3.23
skirschn,806045,Oil & Gas,,2016-01-21,3.57
dwarren8,468384,Internet & Software,,2016-01-10,2.56
zjames,1082915,Social Assistance,,2016-06-21,2.63
shajisey,20132717,Non-Profit - Other,,2018-11-28,3.85
jgrey2,879134,,,2016-03-27,2.24
jgrey2,8713104,Human Resources,,2017-12-31,2.24
jgrey2,844871,Investment Banking,,2016-03-06,2.24
nsamanta,20222792,Higher Education,,2018-11-19,3.61
gvander2,58191,Investment Banking,,2015-08-30,3.7
gvander2,114043,"Advertising, PR & Marketing",,2015-11-12,3.7
gvander2,63715,K-12 Education,,2015-11-16,3.7
aduraisw,1495979,Higher Education,,2016-09-22,3.55
jyakubov,16316393,Internet & Software,,2018-09-17,
oostrike,14931848,Higher Education,,2018-08-12,3.54
nmakarov,17551697,Higher Education,,2018-10-01,3.06
mali11,26028184,Management Consulting,,2019-03-31,2.37
jtobias3,409027,,,2015-12-07,3.18
jkolodn2,8007915,Aerospace,,2017-10-27,
atugnawa,10728410,Internet & Software,,2018-01-31,
twang55,25171838,Higher Education,,2019-03-13,3.31
rchai,19297750,Electronic & Computer Hardware,,2018-11-05,
mfergu13,17219456,Higher Education,,2018-10-01,3.9
gperceva,25223180,Higher Education,,2019-03-13,3.93
jyakubov,15982229,Higher Education,,2018-09-14,
oostrike,5312940,Higher Education,,2017-08-14,3.54
ediabor,14070516,Pharmaceuticals,,2018-07-13,3.5
asanusi,26670863,Investment Banking,,2019-04-10,3.63
dpandit2,12861727,Retail Stores,,2018-05-03,
yzhao72,11968699,Computer Networking,,2018-03-31,3.79
sjacks26,19483166,Electronic & Computer Hardware,,2018-11-05,3.81
tyates,18049274,Higher Education,,2018-10-01,2.87
yliu142,11722868,,,2018-03-02,3.91
snwabunw,25061286,Transportation & Logistics,,2019-03-31,
bregan3,13130085,Investment / Portfolio Management,,2018-05-03,3.13
shershe2,26542998,Investment Banking,,2019-04-10,3.43
adutta3,3898935,Medical Devices,,2017-04-02,3.3
jeby,5123526,Higher Education,,2017-08-14,3.62
mtanveer,93521,Internet & Software,,2015-09-20,
kfang2,11308650,,,2018-03-02,3.48
hwang71,5249286,Higher Education,,2017-08-14,3.67
hwang71,1859918,Higher Education,,2016-09-22,3.67
zliang11,15849793,Higher Education,,2018-09-14,3.73
zliang11,15849748,Higher Education,,2018-09-09,3.73
yjin16,301500,Accounting,,2015-10-15,3.33
xgu17,20163787,CPG - Consumer Packaged Goods,,2018-11-26,
xgu17,23219184,International Affairs,,2019-02-12,
afernan8,9132578,Human Resources,,2017-12-31,3.62
cwhitak3,5353702,Higher Education,,2017-08-14,3.25
tdaly2,3596430,,,,3.65
oostrike,14931838,Higher Education,,2018-08-12,3.54
vsabhnan,8506712,Management Consulting,,2017-11-08,3.88
hlee87,830617,Accounting,,2016-03-01,3.8
abui2,725036,,,,3.9
abui2,645894,Healthcare,,2016-02-08,3.9
oostrike,5312976,Higher Education,,2017-08-14,3.54
oostrike,14931844,Higher Education,,2018-08-12,3.54
oostrike,9966547,Other Industries,,2018-01-26,3.54
azhang32,23373860,Management Consulting,,2019-03-31,3.51
zyan5,6784392,Internet & Software,,2017-09-22,3.63
zyan5,8598822,Internet & Software,,2018-03-15,3.63
jlee226,3596626,,,,3.93
portego,465620,Higher Education,,2016-01-04,3.58
xzhu12,1016009,Performing and Fine Arts,,2016-05-02,3.52
lackerm6,353500,Investment Banking,,2015-11-01,3.38
smaestro,996349,,,2016-04-22,2.51
mfrost,25175069,Higher Education,,2019-03-13,3.76
bli31,8501067,Commercial Banking & Credit,,2017-10-30,
cfan4,353600,Food & Beverage,,2015-11-02,3.7
abruce3,1890746,Higher Education,,2016-09-22,3.98
dwadler,955230,"Advertising, PR & Marketing",,2016-09-12,3.02
abruce3,1890817,Higher Education,,2016-09-22,3.98
jsanch14,2636570,,,,3.02
gmongell,13857472,Legal & Law Enforcement,,2018-05-31,3.75
sgrewal,2923116,Internet & Software,,2016-11-28,3.33
wsong5,285334,Accounting,,2015-10-15,
vezenwa,99173,Internet & Software,,2015-09-20,3.12
vezenwa,835530,Electronic & Computer Hardware,,2016-03-14,3.12
vezenwa,99403,Investment / Portfolio Management,,2015-09-20,3.12
vezenwa,275564,Accounting,,2015-10-15,3.12
vezenwa,139322,Oil & Gas,,2015-09-20,3.12
lphelps2,6601036,Investment / Portfolio Management,,2017-10-01,3.49
yli131,794957,Investment Banking,,2016-03-29,
yli131,954696,Human Resources,,2016-05-28,
yli131,942257,Management Consulting,,2016-04-30,
yli131,1086180,Human Resources,,2016-08-01,
pmcconeg,275221,Higher Education,,2015-10-11,3.85
pmcconeg,370927,Investment Banking,,2015-11-01,3.85
pmcconeg,58040,Investment Banking,,2015-08-30,3.85
pmcconeg,370164,Commercial Banking & Credit,,2015-11-01,3.85
pmcconeg,2389128,Other Industries,,2016-10-30,3.85
jmill98,4251328,Other Education,,2017-05-18,3.16
jsilve17,3214048,Higher Education,,2017-01-30,3.35
lchau2,16676561,Higher Education,,2018-09-14,
lguo16,21205565,Commercial Banking & Credit,,2019-01-10,3.78
epinsker,5671851,Manufacturing - Other,,2017-09-22,3.82
epinsker,5640491,Manufacturing - Other,,2017-09-22,3.82
zjames,11858456,Electronic & Computer Hardware,,2018-04-06,2.63
cbedetse,21663443,Commercial Banking & Credit,,2019-01-10,3.58
bine,19824900,CPG - Consumer Packaged Goods,,2018-11-26,
ramores2,870115,Healthcare,,2016-04-01,3.86
bine,16303299,Higher Education,,2018-09-09,
dwadler,398313,Higher Education,,2016-01-04,3.02
wkozar,8729363,Insurance,,2017-11-18,3.29
ocohen2,474502,Higher Education,,2016-01-04,3.65
ispeece,16617989,Higher Education,,2018-09-14,3.51
rblowers,2066516,Management Consulting,,2016-10-01,3.58
rmagu2,8342257,,,,3.49
arecht,8489764,"Government - Local, State & Federal",,2017-11-30,3.5
aqayum,22562057,Insurance,,2019-01-31,3.02
aqayum,24665596,Investment Banking,,2019-03-05,3.02
ievans4,673811,Healthcare,,2016-02-01,
halam,11649011,K-12 Education,,,3.56
halam,11649010,K-12 Education,,,3.56
jmckenz6,25681008,Healthcare,,2019-03-30,3.06
fdavisho,10150014,Internet & Software,,2018-02-09,3.64
ypan16,1149465,Investment / Portfolio Management,,2016-07-31,3.52
ocohen2,11648375,Research,,,3.65
ocohen2,9461677,"Advertising, PR & Marketing",,,3.65
dorenste,454047,Higher Education,,2016-01-04,3.63
xding12,11509756,Wholesale Trade,,2018-02-23,3.95
xding12,4956651,Management Consulting,,2017-07-14,3.95
blee38,4700023,Manufacturing - Other,,2017-06-30,3.37
dorenste,3469390,,,,3.63
dlevenso,22076976,Healthcare,,2019-02-28,3.12
dorenste,549290,Human Resources,,2016-02-21,3.63
dorenste,4106380,Insurance,,2017-05-01,3.63
ypan16,650459,Internet & Software,,2016-03-06,3.52
ssun16,4127974,Internet & Software,,2017-03-15,3.25
ysu15,3601648,Internet & Software,,2017-03-15,3.6
ggowan,594437,Aerospace,,2016-04-13,3.1
cchang48,12076923,Higher Education,,2018-04-05,3.93
sbajwa,3879969,Management Consulting,,2017-03-20,2.82
hasaga,1019888,Investment Banking,,2016-06-18,2.99
sbajwa,12755169,Healthcare,,2018-05-01,2.82
mwang74,26184291,Biotech & Life Sciences,,2019-04-04,
ypan16,469832,Other Industries,,2015-11-30,3.52
alin15,413914,Healthcare,,2016-01-17,3.08
yli131,441617,Defense,,2015-11-28,
ypan16,1245126,Other Industries,,2016-08-20,3.52
ypan16,469736,Investment / Portfolio Management,,2015-11-30,3.52
alin15,373916,Manufacturing - Other,,2015-11-08,3.08
alin15,413924,Sports & Leisure,,2016-03-11,3.08
ypan16,469820,"Advertising, PR & Marketing",,2015-11-30,3.52
ypan16,2011296,Investment Banking,,2016-09-30,3.52
alin15,373925,Manufacturing - Other,,2015-11-08,3.08
ypan16,469806,Human Resources,,2015-11-30,3.52
alin15,487082,Higher Education,,2016-01-04,3.08
ypan16,469762,"Advertising, PR & Marketing",,2015-11-30,3.52
xcheng5,8788432,Internet & Software,,2017-11-08,3.23
ejames5,17804896,Higher Education,,2018-10-01,3.5
hlee79,4831678,Human Resources,,2017-05-26,
dpan6,872152,Internet & Software,,2016-03-22,3.91
dpan6,8647428,Internet & Software,,2017-11-07,3.91
dpan6,916507,Manufacturing - Other,,2016-05-22,3.91
dpan6,3480172,Investment Banking,,2017-02-12,3.91
dpan6,887834,Internet & Software,,2016-06-30,3.91
dpan6,887866,Management Consulting,,2016-04-30,3.91
jchoi71,13826475,Electronic & Computer Hardware,,2018-05-30,3.65
kguo,25427156,Management Consulting,,2019-03-31,3.71
kguo,26079571,Management Consulting,,2019-03-31,3.71
mnair7,10684979,Healthcare,,2018-03-01,3.85
lhall15,23970128,Biotech & Life Sciences,,2019-04-04,3.34
cwang84,15787553,Higher Education,,2018-09-09,3.81
cwang84,15787568,Higher Education,,2018-09-09,3.81
kleblan2,4847891,Medical Devices,,2017-07-03,3.53
vagarwa2,20473498,Investment Banking,,2018-11-28,3.4
vagarwa2,13809686,Investment / Portfolio Management,,2018-07-05,3.4
vagarwa2,20901818,Higher Education,,2018-12-20,3.4
vagarwa2,13827654,Electronic & Computer Hardware,,2018-05-30,3.4
vagarwa2,12186839,Commercial Banking & Credit,,2018-04-05,3.4
vagarwa2,23522070,Higher Education,,2019-05-15,3.4
kchen48,8003347,Biotech & Life Sciences,,2017-11-08,3.84
ecamach3,1075139,Utilities and Renewable Energy,,2016-07-15,2.8
mmurr13,3592663,Higher Education,,2017-02-06,3.1
dlevin4,7257201,Management Consulting,,2017-09-29,3.98
ckim38,898447,,,2016-06-10,
ckim38,1163095,Internet & Software,,2016-08-26,
mraboy,474517,Other Industries,,2015-11-30,2.77
mraboy,474516,Other Industries,,2015-11-30,2.77
cwhitta3,16195190,Higher Education,,2018-09-09,3.84
mraboy,474290,Higher Education,,2016-01-04,2.77
aemiabat,3553965,Investment Banking,,2017-02-12,
pansour,16296059,Higher Education,,2018-09-09,3.24
nperpign,3240907,,,,3.08
hwhite11,4505452,Legal & Law Enforcement,,2017-06-09,3.63
mteng3,6905092,Higher Education,,2017-09-29,3.68
mteng3,7047208,Management Consulting,,2017-09-29,3.68
ggalindo,20779097,Management Consulting,,2019-03-31,3
jbill3,987064,Sports & Leisure,,2016-04-22,3.36
jbill3,606267,Electronic & Computer Hardware,,2016-03-11,3.36
dbamfo,6014494,Higher Education,,2017-09-10,3.57
gfrankle,2904719,Higher Education,,2016-11-28,3.45
